,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,ScreenType,Resolution,TouchScreen,Cpu_Frequency,MemoryType,MemorySize
0,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1339.69,IPS Panel Retina,2560x1600,0,2.3,SSD,128
1,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,898.94,,1440x900,0,1.8,Flash Storage,128
2,HP,Notebook,15.6,Intel Core i5,8,Intel,No OS,Medium,575.0,,1920x1080,0,2.5,SSD,256
3,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,Heavy,2537.45,IPS Panel Retina,2880x1800,0,2.7,SSD,512
4,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1803.6,IPS Panel Retina,2560x1600,0,3.1,SSD,256
5,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,Light,400.0,,1366x768,0,3.0,HDD,500
6,Apple,Ultrabook,15.4,Intel Core i7,16,Intel,Mac OS X,Heavy,2139.97,IPS Panel Retina,2880x1800,0,2.2,Flash Storage,256
7,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1158.7,,1440x900,0,1.8,Flash Storage,256
8,Asus,Ultrabook,14.0,Intel Core i7,16,Nvidia,Windows 10,Heavy,1495.0,,1920x1080,0,1.8,SSD,512
9,Acer,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,770.0,IPS Panel,1920x1080,0,1.6,SSD,256
10,HP,Notebook,15.6,Intel Core i5,4,Intel,No OS,Light,393.9,,1366x768,0,2.5,HDD,500
11,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,Light,344.99,,1920x1080,0,2.0,HDD,500
12,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,Heavy,2439.97,IPS Panel Retina,2880x1800,0,2.8,SSD,256
13,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,Light,498.9,,1920x1080,0,2.0,SSD,256
14,Apple,Ultrabook,12.0,Other Intel,8,Intel,macOS,Medium,1262.4,IPS Panel Retina,2304x1440,0,1.2,SSD,256
15,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1518.55,IPS Panel Retina,2560x1600,0,2.3,SSD,256
16,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,745.0,,1920x1080,0,2.7,SSD,256
17,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,Heavy,2858.0,IPS Panel Retina,2880x1800,0,2.9,SSD,512
18,Lenovo,Notebook,15.6,Intel Core i3,8,Nvidia,No OS,Medium,499.0,,1920x1080,0,2.4,HDD,1000
19,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,979.0,IPS Panel,1920x1080,1,1.6,SSD,128
20,Asus,Netbook,11.6,Other Intel,2,Intel,Windows 10,Light,191.9,,1366x768,0,1.44,Flash Storage,32
21,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,999.0,IPS Panel,1920x1080,0,2.5,SSD and HDD,1128
22,HP,Notebook,15.6,AMD,4,AMD,No OS,Light,258.0,,1366x768,0,1.5,HDD,500
23,Dell,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,819.0,,1920x1080,1,1.6,SSD,256
24,HP,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,659.0,,1920x1080,0,1.8,SSD,256
25,Dell,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,418.64,,1366x768,0,2.0,HDD,1000
26,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,Medium,1099.0,,1440x900,0,1.6,Flash Storage,128
27,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,800.0,,1920x1080,0,1.6,SSD,256
28,Dell,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,1298.0,,1920x1080,0,1.9,SSD,512
29,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,896.0,,1920x1080,0,1.6,HDD,1000
30,Chuwi,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,244.99,,1920x1080,0,1.44,Flash Storage,64
31,Asus,Notebook,14.0,AMD,2,AMD,Windows 10,Light,199.0,,1366x768,0,1.5,Flash Storage,32
32,HP,Notebook,17.3,AMD,4,AMD,Windows 10,Light,439.0,,1920x1080,0,2.5,HDD,500
33,Dell,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1869.0,,3200x1800,1,1.8,SSD,512
34,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,Medium,998.0,,1440x900,0,1.6,Flash Storage,256
35,Lenovo,Notebook,14.0,Other Intel,4,Intel,Windows 10,Light,249.0,,1366x768,0,1.1,Flash Storage,64
36,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,Light,367.0,,1366x768,0,2.7,HDD,1000
37,Dell,Notebook,17.3,Intel Core i5,8,AMD,Windows 10,Medium,979.0,IPS Panel,1920x1080,0,1.6,SSD and HDD,1128
38,HP,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,488.69,,1366x768,0,2.5,HDD,1000
39,HP,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,879.0,,1920x1080,0,1.6,SSD,256
40,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,Light,389.0,,1920x1080,0,2.0,HDD,1000
41,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1499.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
42,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Linux,Medium,522.99,,1366x768,0,2.5,HDD,1000
43,Acer,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,682.0,IPS Panel,1920x1080,0,1.6,SSD,256
44,Dell,2 in 1 Convertible,17.3,Intel Core i5,12,Nvidia,Windows 10,Heavy,999.0,,1920x1080,1,1.6,HDD,1000
45,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1419.0,IPS Panel Retina,2560x1600,0,2.0,SSD,256
46,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,Light,369.0,,1366x768,0,2.0,SSD,128
47,Asus,Gaming,17.3,AMD,8,AMD,Windows 10,Medium,1299.0,,1920x1080,0,3.0,SSD and HDD,1256
48,Dell,Notebook,15.6,Intel Core i5,4,AMD,Windows 10,Light,639.0,,1920x1080,0,2.5,SSD,256
49,Asus,Notebook,17.3,Other Intel,4,Nvidia,Windows 10,Light,466.0,,1366x768,0,1.1,HDD,1000
50,Lenovo,2 in 1 Convertible,10.1,Other Intel,4,Intel,Android,Light,319.0,IPS Panel,1920x1200,1,1.44,Flash Storage,64
51,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,841.0,IPS Panel,1920x1080,0,1.8,SSD,256
52,HP,Notebook,15.6,AMD,4,AMD,Windows 10,Light,398.49,,1920x1080,0,2.5,SSD,256
53,HP,Notebook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1103.0,,1920x1080,0,1.8,SSD,512
54,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,384.0,,1366x768,0,2.4,HDD,1000
55,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,767.8,,1920x1080,0,1.8,SSD,256
56,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,439.0,,1920x1080,0,2.0,SSD,128
57,Asus,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,586.19,,1366x768,0,2.5,SSD,256
58,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2449.0,,1920x1080,0,2.8,SSD and HDD,2256
59,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,Light,415.0,,1920x1080,0,2.0,SSD,256
60,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,Heavy,1299.0,,1920x1080,0,1.8,SSD and HDD,2256
61,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,879.0,,1920x1080,0,1.6,SSD,256
62,Lenovo,Notebook,14.0,Intel Core i3,8,Intel,No OS,Medium,599.0,IPS Panel,1920x1080,0,2.7,SSD,256
63,Asus,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,941.0,,1920x1080,0,1.6,SSD,256
64,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,690.0,,1920x1080,0,2.5,SSD,256
65,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1983.0,,1920x1080,0,2.8,SSD,512
66,HP,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,Light,438.69,,1366x768,0,2.0,HDD,500
67,HP,Notebook,14.0,Other Intel,4,Intel,Windows 10,Light,229.0,,1366x768,0,1.6,SSD,32
68,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,549.0,,1920x1080,0,2.5,HDD,1000
69,Asus,Gaming,17.3,Intel Core i7,12,Nvidia,Linux,Heavy,949.0,,1920x1080,0,2.8,HDD,1000
70,Microsoft,Ultrabook,13.5,Intel Core i5,4,Intel,Windows 10 S,Light,1089.0,,2256x1504,1,2.5,SSD,128
71,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,Medium,955.0,IPS Panel,1920x1080,0,1.8,SSD,256
72,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,870.0,,1920x1080,0,1.8,SSD,256
73,MSI,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,1095.0,,1920x1080,0,2.5,SSD and HDD,1128
74,Acer,Notebook,14.0,Intel Core i3,8,Intel,Windows 10,Medium,389.0,,1366x768,0,2.0,HDD,1000
75,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,949.0,,1920x1080,0,2.8,HDD,1000
76,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,Medium,519.0,,1920x1080,0,2.5,HDD,2000
77,Dell,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,855.0,,1920x1080,0,1.8,SSD and HDD,1128
78,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,Light,530.0,,1920x1080,0,2.7,HDD,1000
79,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,977.0,,1920x1080,0,1.6,SSD and HDD,1128
80,Dell,Ultrabook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,1096.16,IPS Panel,1920x1080,0,1.6,SSD,256
81,Apple,Ultrabook,12.0,Intel Core i5,8,Intel,macOS,Medium,1510.0,IPS Panel Retina,2304x1440,0,1.3,SSD,512
82,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,860.0,,1920x1080,0,1.6,SSD,256
83,Lenovo,Notebook,15.6,AMD,4,AMD,Windows 10,Light,399.0,,1920x1080,0,2.5,SSD,128
84,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,Light,395.0,,1366x768,0,3.0,HDD,1000
85,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1349.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1128
86,HP,Ultrabook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,699.0,IPS Panel,1920x1080,0,1.8,SSD,256
87,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,598.99,,1920x1080,0,2.5,SSD,256
88,Asus,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1449.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1128
89,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1649.0,IPS Panel,1920x1080,0,1.8,SSD,256
90,Asus,Gaming,15.6,AMD,8,AMD,Windows 10,Medium,699.0,,1920x1080,0,3.0,HDD,1000
91,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,689.0,,1920x1080,0,1.8,HDD,1000
92,HP,Notebook,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1197.0,,1920x1080,0,1.8,SSD,512
93,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,1195.0,,1920x1080,0,2.5,SSD,256
94,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1049.0,,1920x1080,0,2.7,SSD,256
95,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,847.0,IPS Panel,1920x1080,1,1.6,SSD,256
96,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,Medium,599.9,,1920x1080,0,2.7,HDD,1000
97,Dell,Notebook,15.6,Intel Core i3,4,AMD,Linux,Light,485.0,,1920x1080,0,2.0,SSD,256
98,Asus,Notebook,15.6,Intel Core i3,6,Nvidia,Windows 10,Light,577.0,,1920x1080,0,2.4,SSD,256
99,HP,Gaming,15.6,Intel Core i7,12,Nvidia,Windows 10,Heavy,1249.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1128
100,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,719.0,,1920x1080,0,2.7,SSD,256
101,HP,Notebook,15.6,AMD,4,AMD,Windows 10,Light,349.0,,1920x1080,0,1.5,HDD,500
102,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,Medium,647.0,,1920x1080,0,1.6,HDD,1000
103,HP,Ultrabook,13.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1119.0,IPS Panel,1920x1080,0,2.7,SSD,256
104,Microsoft,Ultrabook,13.5,Intel Core i5,8,Intel,Windows 10 S,Medium,1340.0,,2256x1504,1,2.5,SSD,256
105,HP,Notebook,14.0,Intel Core i5,6,Nvidia,Windows 10,Light,659.0,IPS Panel,1920x1080,0,2.5,SSD,256
106,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,414.9,,1920x1080,0,2.0,HDD,1000
107,Asus,Ultrabook,14.0,Intel Core i7,8,Nvidia,Windows 10,Medium,1193.0,IPS Panel,1920x1080,0,2.7,SSD,256
108,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1299.0,,1920x1080,0,2.8,SSD and HDD,1256
109,Lenovo,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1480.0,IPS Panel,1920x1080,0,2.7,SSD,256
110,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1262.0,,1920x1080,0,1.8,SSD and HDD,1256
111,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1379.0,,3200x1800,1,2.4,SSD,256
112,Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1399.0,IPS Panel,1920x1080,1,2.5,SSD,256
113,HP,Notebook,14.0,Intel Core i5,4,Intel,Windows 10,Light,722.0,IPS Panel,1366x768,0,1.6,HDD,500
114,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1629.0,IPS Panel,1920x1080,0,1.6,SSD,256
115,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1398.99,IPS Panel,1920x1080,1,1.6,SSD,256
116,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1084.0,,1920x1080,0,1.8,SSD,512
